City Boundary Specification (LAU/grid),Country Or Territory,City,City Code,Total City Population *,Year,Air Pollutant,Health Risk Scenario,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","318893","2021","PM2.5","WHO_2021_AQG_Scen_Base","57","11.6","11.7","121","92","135","1376","1048","1536"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","8183787","2021","PM2.5","WHO_2021_AQG_Scen_Base","1885","9.8","9.8","2702","2059","3019","28041","21325","31328"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11316073","2021","PM2.5","WHO_2021_AQG_Scen_Base","2178","20.6","20.7","16734","12865","18598","183639","141156","204118"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3280288","2021","PM2.5","WHO_2021_AQG_Scen_Base","712","8.6","8.5","1006","763","1124","9899","7521","11064"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6206337","2021","PM2.5","WHO_2021_AQG_Scen_Base","849","15.8","15.9","7409","5671","8254","80603","61677","89788"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","3087768","2021","PM2.5","WHO_2021_AQG_Scen_Base","778","6.2","6.3","288","218","320","2588","1964","2897"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","305726","2021","PM2.5","WHO_2021_AQG_Scen_Base","76","16.0","16.4","270","207","301","2591","1983","2887"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","757156","2021","PM2.5","WHO_2021_AQG_Scen_Base","159","16.2","16.5","817","625","912","8844","6773","9849"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2587771","2018","PM2.5","WHO_2021_AQG_Scen_Base","446","15.4","15.9","1863","1426","2077","19409","14847","21623"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3307057","2018","PM2.5","WHO_2021_AQG_Scen_Base","745","13.1","13.5","1879","1434","2094","19972","15246","22272"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2760865","2018","PM2.5","WHO_2021_AQG_Scen_Base","384","23.4","23.7","5474","4221","6075","58913","45416","65387"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","493107","2018","PM2.5","WHO_2021_AQG_Scen_Base","131","15.1","15.3","235","180","261","2566","1962","2861"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2563492","2018","PM2.5","WHO_2021_AQG_Scen_Base","536","19.2","19.5","2697","2071","2997","29939","22988","33294"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25570243","2018","PM2.5","WHO_2021_AQG_Scen_Base","6769","13.0","13.2","17158","13093","19141","177777","135655","198302"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1592480","2018","PM2.5","WHO_2021_AQG_Scen_Base","400","11.4","11.3","686","521","765","7278","5543","8125"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","507286","2018","PM2.5","WHO_2021_AQG_Scen_Base","103","7.4","7.4","107","81","119","1228","933","1374"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22931559","2018","PM2.5","WHO_2021_AQG_Scen_Base","2439","11.0","11.3","9480","7216","10576","102742","78294","114682"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1251244","2018","PM2.5","WHO_2021_AQG_Scen_Base","427","7.8","7.9","251","190","283","2692","2045","3010"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22583544","2018","PM2.5","WHO_2021_AQG_Scen_Base","4382","11.8","12.4","10514","8017","11731","121864","92950","135967"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","4923630","2018","PM2.5","WHO_2021_AQG_Scen_Base","557","19.9","21.5","6237","4805","6923","65288","50308","72480"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1047609","2018","PM2.5","WHO_2021_AQG_Scen_Base","195","20.0","20.4","1399","1075","1556","14471","11123","16087"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2697230","2018","PM2.5","WHO_2021_AQG_Scen_Base","577","19.4","19.5","3642","2793","4050","41549","31882","46218"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1433906","2018","PM2.5","WHO_2021_AQG_Scen_Base","392","8.8","8.9","260","196","290","3079","2339","3438"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","18225936","2018","PM2.5","WHO_2021_AQG_Scen_Base","4002","16.9","16.7","15605","11957","17371","157493","120686","175314"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","894464","2018","PM2.5","WHO_2021_AQG_Scen_Base","181","14.2","14.2","794","607","885","8858","6764","9878"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","108842","2018","PM2.5","WHO_2021_AQG_Scen_Base","28","10.7","10.7","31","24","35","361","275","404"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","637335","2018","PM2.5","WHO_2021_AQG_Scen_Base","138","16.0","16.2","732","560","814","8349","6391","9297"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","293931","2018","PM2.5","WHO_2021_AQG_Scen_Base","57","12.6","12.6","124","95","139","1501","1144","1674"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","8045957","2018","PM2.5","WHO_2021_AQG_Scen_Base","1885","12.1","12.1","3588","2737","4004","38199","29122","42638"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11356956","2018","PM2.5","WHO_2021_AQG_Scen_Base","2178","23.5","23.6","15494","11941","17201","193269","148939","214529"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3277985","2018","PM2.5","WHO_2021_AQG_Scen_Base","712","10.5","11.1","1556","1187","1736","16144","12308","18018"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6313580","2018","PM2.5","WHO_2021_AQG_Scen_Base","849","19.0","19.2","8382","6431","9322","96806","74283","107688"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","3010700","2018","PM2.5","WHO_2021_AQG_Scen_Base","778","6.6","6.8","371","282","414","3543","2691","3959"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","299624","2018","PM2.5","WHO_2021_AQG_Scen_Base","76","20.3","20.6","308","237","343","3512","2698","3905"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","754846","2018","PM2.5","WHO_2021_AQG_Scen_Base","159","18.1","18.2","675","517","751","8346","6396","9289"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2436921","2008","PM2.5","WHO_2021_AQG_Scen_Base","446","18.3","19.1","2106","1615","2343","23479","18014","26121"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3094762","2008","PM2.5","WHO_2021_AQG_Scen_Base","745","17.7","18.1","2679","2055","2981","30059","23034","33459"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2944128","2008","PM2.5","WHO_2021_AQG_Scen_Base","384","34.4","34.9","8483","6604","9371","92042","71642","101680"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","442953","2008","PM2.5","WHO_2021_AQG_Scen_Base","131","26.3","26.3","415","321","461","4690","3621","5203"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2499074","2008","PM2.5","WHO_2021_AQG_Scen_Base","536","18.5","18.7","2345","1801","2611","27637","21206","30745"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25392272","2008","PM2.5","WHO_2021_AQG_Scen_Base","6769","15.0","15.1","18512","14156","20642","211173","161406","235356"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1508355","2008","PM2.5","WHO_2021_AQG_Scen_Base","400","11.4","11.3","675","514","755","7549","5750","8429"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","514712","2008","PM2.5","WHO_2021_AQG_Scen_Base","103","8.9","8.8","166","126","187","2010","1527","2247"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22445234","2008","PM2.5","WHO_2021_AQG_Scen_Base","2439","15.0","15.3","13610","10399","15165","154924","118452","172649"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1202981","2008","PM2.5","WHO_2021_AQG_Scen_Base","427","8.3","8.3","251","191","282","3004","2282","3359"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21565973","2008","PM2.5","WHO_2021_AQG_Scen_Base","4382","16.0","16.3","14004","10720","15599","175440","134257","195416"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5070211","2008","PM2.5","WHO_2021_AQG_Scen_Base","557","24.0","24.3","6541","5041","7260","71707","55264","79595"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1100297","2008","PM2.5","WHO_2021_AQG_Scen_Base","195","19.8","19.8","1335","1023","1483","14952","11476","16631"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2770886","2008","PM2.5","WHO_2021_AQG_Scen_Base","577","20.0","20.2","3694","2836","4107","45978","35306","51129"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1323291","2008","PM2.5","WHO_2021_AQG_Scen_Base","392","10.0","10.0","260","198","291","2843","2162","3175"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17674162","2008","PM2.5","WHO_2021_AQG_Scen_Base","4002","21.6","21.4","19876","15295","22079","207443","159647","230432"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","1023017","2008","PM2.5","WHO_2021_AQG_Scen_Base","181","16.2","16.2","1012","773","1129","12717","9729","14168"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","87471","2008","PM2.5","WHO_2021_AQG_Scen_Base","28","14.9","14.9","44","33","49","514","393","573"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","722154","2008","PM2.5","WHO_2021_AQG_Scen_Base","138","19.7","19.7","999","767","1111","12026","9235","13373"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","251995","2008","PM2.5","WHO_2021_AQG_Scen_Base","57","15.0","15.1","142","108","158","1682","1285","1875"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7682702","2008","PM2.5","WHO_2021_AQG_Scen_Base","1885","17.5","17.6","5542","4241","6169","63570","48694","70767"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11398510","2008","PM2.5","WHO_2021_AQG_Scen_Base","2178","23.0","23.0","13372","10303","14846","174171","134218","193347"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3361541","2008","PM2.5","WHO_2021_AQG_Scen_Base","712","12.4","12.3","1710","1306","1910","19145","14598","21367"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6669762","2008","PM2.5","WHO_2021_AQG_Scen_Base","849","25.0","25.2","10984","8476","12185","139006","107261","154206"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2731854","2008","PM2.5","WHO_2021_AQG_Scen_Base","778","9.6","9.7","908","692","1016","8770","6672","9800"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","291417","2008","PM2.5","WHO_2021_AQG_Scen_Base","76","19.6","19.8","257","197","285","3213","2467","3574"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","745546","2008","PM2.5","WHO_2021_AQG_Scen_Base","159","21.2","21.4","787","603","873","9601","7382","10668"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2466292","2012","PM2.5","WHO_2021_AQG_Scen_Base","446","16.8","17.4","1983","1518","2206","21687","16615","24144"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3213435","2012","PM2.5","WHO_2021_AQG_Scen_Base","745","16.2","16.5","2483","1901","2767","26981","20648","30052"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2869419","2012","PM2.5","WHO_2021_AQG_Scen_Base","384","29.9","30.3","7251","5620","8025","76691","59447","84893"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","491839","2012","PM2.5","WHO_2021_AQG_Scen_Base","131","26.6","26.6","461","356","512","4793","3700","5315"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2538217","2012","PM2.5","WHO_2021_AQG_Scen_Base","536","19.7","19.8","2630","2022","2924","30142","23160","33511"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","24809148","2012","PM2.5","WHO_2021_AQG_Scen_Base","6769","14.1","14.2","17531","13383","19542","193851","148059","216159"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1537204","2012","PM2.5","WHO_2021_AQG_Scen_Base","400","10.4","10.4","554","421","618","6305","4799","7043"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","509626","2012","PM2.5","WHO_2021_AQG_Scen_Base","103","8.4","8.4","142","108","159","1751","1330","1958"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","23010076","2012","PM2.5","WHO_2021_AQG_Scen_Base","2439","12.8","13.1","11395","8703","12710","126668","96689","141265"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1225856","2012","PM2.5","WHO_2021_AQG_Scen_Base","427","8.1","8.1","256","195","287","2920","2217","3264"
"Urban Centres (grid)","France","All Urban Centres in a Country","","21994132","2012","PM2.5","WHO_2021_AQG_Scen_Base","4382","16.4","17.1","15737","12057","17519","191395","146610","213090"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5081887","2012","PM2.5","WHO_2021_AQG_Scen_Base","557","20.5","20.9","5924","4554","6584","62699","48194","69689"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1091113","2012","PM2.5","WHO_2021_AQG_Scen_Base","195","17.4","17.4","1128","865","1257","12227","9365","13613"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2739586","2012","PM2.5","WHO_2021_AQG_Scen_Base","577","20.2","20.3","3748","2875","4167","43787","33628","48690"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1362334","2012","PM2.5","WHO_2021_AQG_Scen_Base","392","9.0","9.1","239","183","269","2720","2066","3039"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","17897547","2012","PM2.5","WHO_2021_AQG_Scen_Base","4002","21.7","21.6","20950","16136","23261","215315","165836","239081"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","956476","2012","PM2.5","WHO_2021_AQG_Scen_Base","181","14.0","14.0","780","595","870","9442","7209","10529"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","94893","2012","PM2.5","WHO_2021_AQG_Scen_Base","28","13.4","13.4","40","31","45","478","365","533"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","673722","2012","PM2.5","WHO_2021_AQG_Scen_Base","138","14.8","15.0","655","500","730","7614","5818","8488"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","257998","2012","PM2.5","WHO_2021_AQG_Scen_Base","57","12.5","12.5","113","86","126","1280","976","1429"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7834874","2012","PM2.5","WHO_2021_AQG_Scen_Base","1885","14.0","14.0","4154","3176","4637","46976","35872","52385"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11383003","2012","PM2.5","WHO_2021_AQG_Scen_Base","2178","26.3","26.5","16159","12491","17906","210906","163072","233751"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3358056","2012","PM2.5","WHO_2021_AQG_Scen_Base","712","11.7","11.7","1635","1247","1826","17798","13557","19868"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6495398","2012","PM2.5","WHO_2021_AQG_Scen_Base","849","23.5","24.0","10539","8124","11698","120175","92657","133376"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2821082","2012","PM2.5","WHO_2021_AQG_Scen_Base","778","8.1","8.3","644","490","719","6036","4585","6746"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","297973","2012","PM2.5","WHO_2021_AQG_Scen_Base","76","19.5","19.7","272","209","303","3278","2515","3646"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","749464","2012","PM2.5","WHO_2021_AQG_Scen_Base","159","21.4","21.7","805","620","894","9642","7414","10714"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2518154","2015","PM2.5","WHO_2021_AQG_Scen_Base","446","15.0","15.3","1741","1331","1937","18251","13954","20342"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3260255","2015","PM2.5","WHO_2021_AQG_Scen_Base","745","13.6","14.0","1980","1512","2207","21184","16174","23622"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2820457","2015","PM2.5","WHO_2021_AQG_Scen_Base","384","27.5","27.6","6602","5107","7318","69448","53719","76953"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","483278","2015","PM2.5","WHO_2021_AQG_Scen_Base","131","18.7","18.8","318","243","353","3215","2464","3576"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2546149","2015","PM2.5","WHO_2021_AQG_Scen_Base","536","17.7","17.8","2358","1806","2624","26021","19950","28958"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25077724","2015","PM2.5","WHO_2021_AQG_Scen_Base","6769","13.1","13.3","16841","12850","18787","179143","136691","199822"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1559021","2015","PM2.5","WHO_2021_AQG_Scen_Base","400","10.6","10.6","585","446","654","6507","4951","7266"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","505646","2015","PM2.5","WHO_2021_AQG_Scen_Base","103","7.2","7.2","94","72","105","1137","863","1272"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22828895","2015","PM2.5","WHO_2021_AQG_Scen_Base","2439","13.6","13.8","12899","9851","14384","138767","106000","154704"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1241852","2015","PM2.5","WHO_2021_AQG_Scen_Base","427","5.9","6.0","80","62","90","889","674","994"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22392050","2015","PM2.5","WHO_2021_AQG_Scen_Base","4382","13.2","14.1","12423","9490","13844","146363","111799","163178"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","4977195","2015","PM2.5","WHO_2021_AQG_Scen_Base","557","21.2","22.5","6715","5173","7456","68808","52998","76402"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1078184","2015","PM2.5","WHO_2021_AQG_Scen_Base","195","19.2","19.2","1339","1028","1490","13672","10494","15208"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2718525","2015","PM2.5","WHO_2021_AQG_Scen_Base","577","21.6","22.1","4234","3259","4703","48001","36935","53319"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1388559","2015","PM2.5","WHO_2021_AQG_Scen_Base","392","7.6","7.7","175","134","197","1984","1508","2219"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","18319844","2015","PM2.5","WHO_2021_AQG_Scen_Base","4002","20.6","20.6","21030","16169","23363","208208","160112","231368"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","930242","2015","PM2.5","WHO_2021_AQG_Scen_Base","181","13.3","13.5","765","583","854","8707","6646","9711"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","101783","2015","PM2.5","WHO_2021_AQG_Scen_Base","28","13.3","13.3","41","31","46","479","366","535"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","654375","2015","PM2.5","WHO_2021_AQG_Scen_Base","138","14.2","14.3","602","461","671","7064","5396","7876"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","271681","2015","PM2.5","WHO_2021_AQG_Scen_Base","57","13.1","13.2","124","94","138","1395","1065","1557"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","7914661","2015","PM2.5","WHO_2021_AQG_Scen_Base","1885","12.5","12.5","3655","2779","4071","39822","30363","44441"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11365602","2015","PM2.5","WHO_2021_AQG_Scen_Base","2178","23.8","24.0","15053","11606","16704","191814","147909","212870"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3304679","2015","PM2.5","WHO_2021_AQG_Scen_Base","712","12.1","12.6","1867","1423","2082","19586","14942","21854"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6422558","2015","PM2.5","WHO_2021_AQG_Scen_Base","849","19.8","20.1","8828","6778","9814","99318","76281","110437"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","2899768","2015","PM2.5","WHO_2021_AQG_Scen_Base","778","6.2","6.4","291","222","326","2778","2111","3107"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","299043","2015","PM2.5","WHO_2021_AQG_Scen_Base","76","21.7","21.9","324","249","360","3782","2908","4203"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","751826","2015","PM2.5","WHO_2021_AQG_Scen_Base","159","19.1","19.3","716","550","798","8645","6634","9615"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2598479","2019","PM2.5","WHO_2021_AQG_Scen_Base","446","13.4","13.5","1442","1099","1610","14885","11360","16600"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3323576","2019","PM2.5","WHO_2021_AQG_Scen_Base","745","11.1","11.3","1384","1056","1546","14843","11308","16572"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2741289","2019","PM2.5","WHO_2021_AQG_Scen_Base","384","20.9","21.2","4794","3686","5327","51624","39690","57368"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","499762","2019","PM2.5","WHO_2021_AQG_Scen_Base","131","15.1","15.3","253","194","282","2673","2044","2980"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2573096","2019","PM2.5","WHO_2021_AQG_Scen_Base","536","15.2","15.2","1939","1482","2159","21681","16582","24160"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","25640338","2019","PM2.5","WHO_2021_AQG_Scen_Base","6769","10.7","10.9","12138","9251","13565","128975","98194","144024"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1599338","2019","PM2.5","WHO_2021_AQG_Scen_Base","400","10.0","9.9","524","401","588","5729","4357","6400"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","509473","2019","PM2.5","WHO_2021_AQG_Scen_Base","103","6.3","6.3","58","44","64","675","512","755"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","23068485","2019","PM2.5","WHO_2021_AQG_Scen_Base","2439","10.7","10.9","8630","6579","9629","96865","73812","108120"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1252328","2019","PM2.5","WHO_2021_AQG_Scen_Base","427","6.2","6.1","97","75","109","1058","803","1186"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22634625","2019","PM2.5","WHO_2021_AQG_Scen_Base","4382","10.7","11.0","8550","6512","9549","99358","75660","110939"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","4916041","2019","PM2.5","WHO_2021_AQG_Scen_Base","557","17.5","18.1","5274","4043","5872","52717","40413","58671"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1040145","2019","PM2.5","WHO_2021_AQG_Scen_Base","195","16.1","16.1","1017","779","1134","10691","8183","11906"
"Urban Centres (grid)","Hungary","All Urban Centres in a Country","","2695682","2019","PM2.5","WHO_2021_AQG_Scen_Base","577","15.0","15.1","2545","1943","2836","29007","22169","32328"
"Urban Centres (grid)","Ireland","All Urban Centres in a Country","","1455830","2019","PM2.5","WHO_2021_AQG_Scen_Base","392","8.7","8.8","248","190","278","2989","2272","3342"
"Urban Centres (grid)","Italy","All Urban Centres in a Country","","18024849","2019","PM2.5","WHO_2021_AQG_Scen_Base","4002","15.6","15.4","14005","10716","15604","139647","106856","155568"
"Urban Centres (grid)","Lithuania","All Urban Centres in a Country","","889776","2019","PM2.5","WHO_2021_AQG_Scen_Base","181","14.4","14.4","787","601","878","9090","6942","10133"
"Urban Centres (grid)","Luxembourg","All Urban Centres in a Country","","110992","2019","PM2.5","WHO_2021_AQG_Scen_Base","28","8.5","8.5","19","14","21","220","167","246"
"Urban Centres (grid)","Latvia","All Urban Centres in a Country","","632588","2019","PM2.5","WHO_2021_AQG_Scen_Base","138","13.2","13.3","532","405","593","6058","4624","6756"
"Urban Centres (grid)","Malta","All Urban Centres in a Country","","304965","2019","PM2.5","WHO_2021_AQG_Scen_Base","57","12.3","12.4","119","91","133","1445","1101","1612"
"Urban Centres (grid)","Netherlands","All Urban Centres in a Country","","8093289","2019","PM2.5","WHO_2021_AQG_Scen_Base","1885","10.8","10.8","2886","2194","3221","31369","23879","35025"
"Urban Centres (grid)","Poland","All Urban Centres in a Country","","11355795","2019","PM2.5","WHO_2021_AQG_Scen_Base","2178","20.2","20.3","12788","9830","14219","162311","124739","180420"
"Urban Centres (grid)","Portugal","All Urban Centres in a Country","","3273395","2019","PM2.5","WHO_2021_AQG_Scen_Base","712","9.6","10.0","1268","964","1414","13307","10128","14861"
"Urban Centres (grid)","Romania","All Urban Centres in a Country","","6275106","2019","PM2.5","WHO_2021_AQG_Scen_Base","849","17.2","17.4","7235","5543","8055","85213","65284","94863"
"Urban Centres (grid)","Sweden","All Urban Centres in a Country","","3043406","2019","PM2.5","WHO_2021_AQG_Scen_Base","778","5.9","6.1","225","171","252","2218","1683","2480"
"Urban Centres (grid)","Slovenia","All Urban Centres in a Country","","301657","2019","PM2.5","WHO_2021_AQG_Scen_Base","76","17.2","17.5","250","192","278","2829","2167","3149"
"Urban Centres (grid)","Slovakia","All Urban Centres in a Country","","755859","2019","PM2.5","WHO_2021_AQG_Scen_Base","159","15.1","15.2","519","396","577","6604","5049","7362"
"Urban Centres (grid)","Austria","All Urban Centres in a Country","","2479123","2013","PM2.5","WHO_2021_AQG_Scen_Base","446","17.6","18.3","2114","1622","2354","23230","17809","25851"
"Urban Centres (grid)","Belgium","All Urban Centres in a Country","","3231447","2013","PM2.5","WHO_2021_AQG_Scen_Base","745","16.8","17.1","2619","2006","2917","28533","21848","31774"
"Urban Centres (grid)","Bulgaria","All Urban Centres in a Country","","2852709","2013","PM2.5","WHO_2021_AQG_Scen_Base","384","26.5","27.0","6084","4702","6741","67152","51916","74429"
"Urban Centres (grid)","Cyprus","All Urban Centres in a Country","","494045","2013","PM2.5","WHO_2021_AQG_Scen_Base","131","17.1","17.1","243","186","272","2770","2120","3084"
"Urban Centres (grid)","Czechia","All Urban Centres in a Country","","2540800","2013","PM2.5","WHO_2021_AQG_Scen_Base","536","20.3","20.4","2770","2128","3080","31446","24172","34956"
"Urban Centres (grid)","Germany","All Urban Centres in a Country","","24869626","2013","PM2.5","WHO_2021_AQG_Scen_Base","6769","14.8","14.9","19261","14730","21473","209187","159844","233162"
"Urban Centres (grid)","Denmark","All Urban Centres in a Country","","1543296","2013","PM2.5","WHO_2021_AQG_Scen_Base","400","9.8","9.8","501","382","560","5606","4264","6265"
"Urban Centres (grid)","Estonia","All Urban Centres in a Country","","507686","2013","PM2.5","WHO_2021_AQG_Scen_Base","103","8.3","8.3","136","103","151","1627","1235","1818"
"Urban Centres (grid)","Spain","All Urban Centres in a Country","","22965690","2013","PM2.5","WHO_2021_AQG_Scen_Base","2439","11.3","11.3","8628","6573","9633","100814","76817","112532"
"Urban Centres (grid)","Finland","All Urban Centres in a Country","","1231620","2013","PM2.5","WHO_2021_AQG_Scen_Base","427","6.8","6.9","155","117","172","1749","1327","1958"
"Urban Centres (grid)","France","All Urban Centres in a Country","","22103096","2013","PM2.5","WHO_2021_AQG_Scen_Base","4382","16.0","16.6","15090","11553","16805","184537","141275","205512"
"Urban Centres (grid)","Greece","All Urban Centres in a Country","","5043935","2013","PM2.5","WHO_2021_AQG_Scen_Base","557","19.8","20.1","5373","4129","5974","59741","45906","66413"
"Urban Centres (grid)","Croatia","All Urban Centres in a Country","","1087582","2013","PM2.5","WHO_2021_AQG_Scen_Base","195","18.0","18.1","1153","884","1283","12552","9621","13969"
